SerialNumber,Device,MSICode,Version,Location,User,
MJ062U22,DFA000459,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,cosmith
MJ09PS59,CBD-CS-D-002253,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,ajeffer
R90T69K2,CDB-FN-M-001547,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FRM02-FarmingtonDC,jrabey
MJ09PS64,CDB-OP-D-000873,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,scanner1
MJ08DTPQ,CDB-OP-D-001620,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,cedarburghmi
R90SZBM4,CDB-OP-M-001443,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,cosmith
MJ09PS6W,CDB-PD-D-000656,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,jferrei1
R90VW2AN,CDB-PD-L-004005,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,smuelle
R90TYDM2,CDB-SL-L-001824,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,wturner
R90W1AJN,CDB-SL-L-002442,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,jweber
R90W1AKE,CDB-SL-L-002447,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,chuffma
R90VNPGM,CDB-ST-L-001926,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,Kopetskd
R90VNPGL,CDB-ST-L-001927,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FGO01-Fargo,Williamd
MJ08CZ56,CDB-TP-D-001809,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,ebliss
PF25L4BT,DEANS-KKULBER2,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,kculber2
PF2CYVWC,DF006903,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,Whittiet
R90LQKNB,DFA000006,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,VorWaldb
R90LQKSK,DFA000017,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,pstanto
MJ052UWZ,DFA000019,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,FactoryIT
R90MAVDG,DFA000031,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,Aquinok
R90MJ7JD,DFA000157,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,bhunter
R90MJ7J5,DFA000162,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,McDonalm
R90MJ7HK,DFA000166,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,syang1
R90MJ7QF,DFA000167,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,akunkel
R90MJ7HY,DFA000168,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,Hayesj
R90MJ7K8,DFA000173,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,jerschn
MJ05KP4B,DFA000181,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FGO01-Fargo,jrosado1
MJ05KNLA,DFA000184,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,Kemps
MJ05KNLJ,DFA000189,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,Kemps
R90NSRP7,DFA000278,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,tnadeau
R90MEFZT,DFA000334,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,sansdj01
R90MEKL2,DFA000335,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,tcaprio
R90MEKL0,DFA000336,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,behnbj01
R90MEG25,DFA000337,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,Pelkiem
R90MEG0R,DFA000339,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,Pludej
R90MEG02,DFA000341,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,CMuller
R90MEKKR,DFA000343,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,robicm01
R90MEKLH,DFA000344,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,dboyum
R90MEKLA,DFA000345,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,kingj
R90MEKHD,DFA000346,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,tboomga
R90MEKM4,DFA000347,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,agrinol
R90MEKKP,DFA000348,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,tbenson
R90MEKL7,DFA000350,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,Lesnarl
R90MEKJA,DFA000351,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,tcaprio
R90MEKLC,DFA000352,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,tehall
R90MEKJQ,DFA000353,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,kbongar
R90NRF3B,DFA000400,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FRM01-Farmington,Feulingr
R90NREKD,DFA000401,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,jschule
R90NREK1,DFA000402,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,mitchelk
R90NREWA,DFA000405,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,Puntonm
R90NR8NE,DFA000406,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,Puziewim
R90NR8LA,DFA000407,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,disedm01
R90NR8M4,DFA000408,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FGO01-Fargo,kimmbd01
R90NRF1G,DFA000410,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,aglende
R90NRF0A,DFA000412,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,mendam01
R90NRV5K,DFA000413,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,mbraith
R90NREZV,DFA000416,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,kboerbo
R90NRV3B,DFA000417,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,bgeffre
R90NRV5J,DFA000419,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,gzimmer
R90NRV47,DFA000420,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,mayerc
R90NRERD,DFA000421,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,stedfor
PF0T6R69,DFA000447,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,jphipps
MJ060PT8,DFA000457,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,bgoetsc
MJ060PSU,DFA000458,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FGO01-Fargo,fargolb
MJ062U1M,DFA000460,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,minserti
MJ062U29,DFA000462,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,Kemps
MJ062U2L,DFA000463,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,dstaats
MJ062U2A,DFA000464,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,benscr01
MJ062U1V,DFA000467,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,CBTEK1
MJ062U2T,DFA000468,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,ebliss
MJ062U2M,DFA000469,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,vsrihar
MJ062U2U,DFA000470,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,disedm01
MJ062U2S,DFA000471,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,bdryden
MJ062U21,DFA000472,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FRM02-FarmingtonDC,farmingtondock
MJ062U2P,DFA000473,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,Muellerg
MJ062U2C,DFA000475,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FRM02-FarmingtonDC,kolson
MJ062U2W,DFA000476,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,svath1
MJ062U2F,DFA000478,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,rngin
MJ062U25,DFA000479,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,kenjone
MJ065QBP,DFA000491,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,Nohnerr
MJ062U2N,DFA000492,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,ietest1
MJ065QCV,DFA000565,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,Kemps
MJ065QB8,DFA000568,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,Mitzvl01
MJ065QCP,DFA000569,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,
MJ065QCB,DFA000570,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,Cbtek3
MJ062U2E,DFA000579,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,
MJ065QAN,DFA000582,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FRM01-Farmington,gsymitc
MJ065QA9,DFA000585,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,lobdja01
MJ065QAK,DFA000588,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,Kemps
MJ065QBA,DFA000590,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,Kemps
R90PND8W,DFA000632,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FGO01-Fargo,Jdavenp1
R90PND8V,DFA000646,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,Olhedr01
PC0RF3C6,DFA000657,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,SGF03-Springfield-TechCenter,jbumgar
PF0YLFA0,DFA000691,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,tlann
PF1240ND,DFA000790,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,Medigert
R90QF4RJ,DFA000798,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FRM01-Farmington,bgullic
R90QGW8Z,DFA000862,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,jensonc
R90QGW8T,DFA000863,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,Hewittb
R90QGW8S,DFA000865,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,taylja01
R90QGW8V,DFA000866,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,mhanson3
R90QGW8W,DFA000867,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,tvillan
R90QGU0Y,DFA000951,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,Hastingk
R90QQFAB,DFA001021,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,Hufstedm
R90QQFAD,DFA001053,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CHI02-Chicago,rmelo
MJ06YFT6,DFA001074,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FGO01-Fargo,Kemps
MJ07AEAY,DFA001093,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,
R90R3UXJ,DFA001096,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,andrtb01
MJ07B357,DFA001099,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.8.00,AZR01-AzureIowa,gthomso
MJ07AEAT,DFA001100,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,minnmilkhmi
MJ07AEAX,DFA001101,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,minnmilkhmi
R90R9D1D,DFA001119,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,mmoen
R90R9D12,DFA001124,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,purcml01
PC0VFLW0,DFA001168,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,Bantnm01
R90RLY0S,DFA001174,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,kimmbd01
R90RLY0N,DFA001175,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,mapeder
R90RCLBY,DFA001203,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,larkinsj
R90RJ1S5,DFA001221,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,rtahtin
R90RUV22,DFA001223,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,cpadgit
R90RJ1S7,DFA001231,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,Dardisa
MJ07T27L,DFA001290,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,scohen1
MJ07T27K,DFA001298,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,kkeel
R90RUV25,DFA001303,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FGO01-Fargo,brander
R90SF01E,DFA001374,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,tmenden
MJ07T277,DFA001384,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,MIN02-MinnMilk,jhultma
R90S775X,DFA001418,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,boehhj01
R90S7769,DFA001421,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,bmcgint
R90SZBM5,DFA001433,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,eloper
R90SZBMA,DFA001435,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FRM01-Farmington,dwunderlich
R90SZBM0,DFA001436,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FGO01-Fargo,ceisenb
R90SZBM9,DFA001440,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,fogakm01
MJ08CZ52,DFA001808,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,STP01-StPaul,SCANNER2
MJ093BNK,DFA002057,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,ROC02-RochesterIC,FactoryIT
MJ0C03JY,DFA004704,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,FRM02-FarmingtonDC,jrabey
PF2BH8XE,DFA005743,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,AZR01-AzureIowa,dkalbak
PF2BM2M6,DFA005824,Symtrax - Compleo Suite 5,{fb9c7fcb-f184-4dad-8d22-1de82d9c3628},5.1.00,CBG01-Cedarburg,blanchab
